Pays1,Pays2,Pays3,Pays4,Pays5,Percentage1,Percentage2,Percentage3,Percentage4,Percentage5,Player1,Player2,Player3,Player4,Player5,Time
Argentina,France,France,France,France,72.0,8.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:05:01.413348
Argentina,France,France,France,France,72.0,8.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:06:01.487282
Argentina,France,France,France,France,72.0,8.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:07:01.559437
Argentina,France,France,France,France,71.0,8.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:08:01.631687
Argentina,France,France,France,France,71.0,8.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:09:01.666330
Argentina,France,France,France,France,71.0,8.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:10:01.752577
Argentina,France,France,France,France,71.0,8.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:11:01.832026
Argentina,France,France,France,France,71.0,8.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:12:01.903240
Argentina,France,France,France,France,71.0,8.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:13:01.966346
Argentina,France,France,France,France,71.0,9.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:14:02.014656
Argentina,France,France,France,France,71.0,9.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:15:02.056700
Argentina,France,France,France,France,70.0,9.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:16:02.094961
Argentina,France,France,France,France,70.0,10.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:17:02.156904
Argentina,France,France,France,France,69.0,10.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:18:02.207556
Argentina,France,France,France,France,69.0,10.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:19:02.243419
Argentina,France,France,France,France,69.0,10.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:20:02.315573
Argentina,France,France,France,France,68.0,10.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:21:02.365185
Argentina,France,France,France,France,68.0,11.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:22:02.399213
Argentina,France,France,France,France,68.0,11.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:23:02.479143
Argentina,France,France,France,France,68.0,11.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:24:02.562836
Argentina,France,France,France,France,68.0,11.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:25:02.648934
Argentina,France,France,France,France,68.0,11.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:26:02.691892
Argentina,France,France,France,France,67.0,11.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:27:02.742757
Argentina,France,France,France,France,67.0,11.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:28:02.790752
Argentina,France,France,France,France,67.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:29:02.861748
Argentina,France,France,France,France,67.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:30:02.932424
Argentina,France,France,France,France,67.0,12.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:31:03.004109
Argentina,France,France,France,France,67.0,12.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:32:03.086742
Argentina,France,France,France,France,66.0,12.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:33:03.165096
Argentina,France,France,France,France,66.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:34:03.235633
Argentina,France,France,France,France,66.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:35:03.274651
Argentina,France,France,France,France,66.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:36:03.342744
Argentina,France,France,France,France,66.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:37:03.380896
Argentina,France,France,France,France,65.0,12.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:38:03.462630
Argentina,France,France,France,France,65.0,12.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:39:03.548648
Argentina,France,France,France,France,65.0,12.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:40:03.616723
Argentina,France,France,France,France,65.0,13.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:41:03.697644
Argentina,France,France,France,France,65.0,12.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:42:03.760051
Argentina,France,France,France,France,65.0,13.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:43:03.826754
Argentina,France,France,France,France,65.0,12.0,2.0,2.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:44:03.880246
Argentina,France,France,France,France,65.0,13.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:45:03.914706
Argentina,France,France,France,France,64.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:46:03.972749
Argentina,France,France,France,France,64.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:47:04.054488
Argentina,France,France,France,France,63.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:48:04.120819
Argentina,France,France,France,France,62.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:49:04.201943
Argentina,France,France,France,France,61.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:50:04.267212
Argentina,France,France,France,France,60.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:51:04.329831
Argentina,France,France,France,France,59.0,12.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:52:04.408966
Argentina,France,France,France,France,58.0,11.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:53:04.446763
Argentina,France,France,France,France,57.0,11.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:54:04.507053
Argentina,France,France,France,France,57.0,11.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:55:04.554441
Argentina,France,France,France,France,57.0,11.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:56:04.640588
Argentina,France,France,France,France,56.0,10.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:57:04.719928
Argentina,France,France,France,France,56.0,10.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:58:04.804987
Argentina,France,France,France,France,55.0,10.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:59:04.852553
Argentina,France,France,France,France,54.0,10.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 15:00:04.888251
Argentina,France,France,France,France,54.0,10.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 15:01:04.969404
Argentina,France,France,France,France,53.0,10.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 15:02:05.031352
Argentina,France,France,France,France,52.0,10.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 15:03:05.105810
Argentina,France,France,France,France,52.0,9.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 15:04:05.190490
Argentina,France,France,France,France,51.0,9.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 15:05:05.230702
Argentina,France,France,France,France,51.0,9.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 15:06:05.298873
